Verification log – 2026-08-09 20:26:29 UTC
Execution time: 36.4s
Total proxies tested: 253
Working proxies found: 190
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
------------------------------------------------------------
2026-08-09T20:26:26.283853  diana.mtprotonewrunningproxasia.info:443 FAIL   -        eu
2026-08-09T20:26:26.287507  jadid.zhigool.co.uk:25565      OK     0.02s    eu
2026-08-09T20:26:26.313452  iran-download.litos.co.uk.:443 FAIL   -        eu
2026-08-09T20:26:26.323974  por-sorat.peachsoft.co.uk.:443 FAIL   -        eu
2026-08-09T20:26:26.373103  silver.ciaude.co.uk:2096       OK     0.108s   eu
2026-08-09T20:26:26.373383  server2.server2-5mk.info:443   OK     0.095s   eu
2026-08-09T20:26:26.373639  rain.lavazemi2.co.uk:2053      OK     0.106s   eu
2026-08-09T20:26:26.374100  soheil.goooalir.co.uk:8443     FAIL   -        eu
2026-08-09T20:26:26.374244  bia.nisti.co.uk:8880           OK     0.109s   eu
2026-08-09T20:26:26.375307  79.137.196.223:14443           OK     0.096s   eu
2026-08-09T20:26:26.377526  65.109.147.34:443              OK     0.115s   eu
2026-08-09T20:26:26.384448  takhasos.karshenasi.info:443   OK     0.121s   eu
2026-08-09T20:26:26.384467  https-cdn-ddns.itdeveloper.info.:88 FAIL   -        eu
2026-08-09T20:26:26.384707  app.what-ever.co.uk:443        OK     0.107s   eu
2026-08-09T20:26:26.385218  app.what-ever.co.uk.:443       OK     0.114s   eu
2026-08-09T20:26:26.385232  nab.goooalir.co.uk:8443        FAIL   -        eu
2026-08-09T20:26:26.385553  95.217.244.233:8443            OK     0.114s   eu
2026-08-09T20:26:26.390296  gallery.talebi.co.uk:2096      OK     0.122s   eu
2026-08-09T20:26:26.390463  65.108.230.201:88              OK     0.116s   eu
2026-08-09T20:26:26.390663  www.royaclinic.co.uk:80        OK     0.113s   eu
2026-08-09T20:26:26.391022  star.talebi.co.uk:2096         OK     0.115s   eu
2026-08-09T20:26:26.392412  zon-b0z.co.uk.:443             OK     0.116s   eu
2026-08-09T20:26:26.395540  webhook.jinxandjack.co.uk.:443 OK     0.133s   eu
2026-08-09T20:26:26.397610  198.199.120.58:443             OK     0.012s   eu
2026-08-09T20:26:26.401487  king-of-the-world.ir.bishdhaep.info.:88 OK     0.132s   eu
2026-08-09T20:26:26.402342  Morako.mazhol.info.:443        OK     0.132s   eu
2026-08-09T20:26:26.410798  Lashboy.muzanesghy.co.uk:4455  OK     0.143s   eu
2026-08-09T20:26:26.411058  main.muffinnoliershatelcomingsoon.co.uk.:443 OK     0.13s    eu
2026-08-09T20:26:26.411742  blond.basicscotch.co.uk:25565  OK     0.034s   eu
2026-08-09T20:26:26.412046  visit.royaclinic.beauty:443    FAIL   -        eu
2026-08-09T20:26:26.413097  Zhira.hako-mako.co.uk:443      OK     0.131s   eu
2026-08-09T20:26:26.414249  parsii.ir.meli-n13.info:8443   OK     0.137s   eu
2026-08-09T20:26:26.416007  d6gjedd6bbk888hh0djjj00lan.ir.meli-n13.info:8443 OK     0.141s   eu
2026-08-09T20:26:26.420045  por-soratt.peachsoft.co.uk.:443 OK     0.156s   eu
2026-08-09T20:26:26.420654  AZADI.goooalir.co.uk:8443      OK     0.14s    eu
2026-08-09T20:26:26.425567  download.lv426.co.uk.:443      OK     0.162s   eu
2026-08-09T20:26:26.440011  billing.mizbanonline.info:443  OK     0.164s   eu
2026-08-09T20:26:26.453138  www.weblog.co.im:144           OK     0.187s   eu
2026-08-09T20:26:26.455554  kingg.ir.meli-n13.info:8443    OK     0.142s   eu
2026-08-09T20:26:26.458770  Rudmoain.co.uk.:443            OK     0.135s   eu
2026-08-09T20:26:26.465166  iran-download.fourie.co.uk.:443 OK     0.184s   eu
2026-08-09T20:26:26.466420  download.lv426.co.uk:443       OK     0.092s   eu
2026-08-09T20:26:26.478348  sn.ir.ir.ir.meli-n12.info:8443 OK     0.217s   eu
2026-08-09T20:26:26.479755  94.184.32.21.ir-vlue3.ir:2020  OK     0.2s     eu
2026-08-09T20:26:26.485089  googel.alo-otp.info.:25565     OK     0.019s   eu
2026-08-09T20:26:26.485735  benz.cras.co.im:144            OK     0.211s   eu
2026-08-09T20:26:26.490801  dark.basicscotch.co.uk:22      OK     0.22s    eu
2026-08-09T20:26:26.490816  folox.jeyko-max.info.:44300    OK     0.217s   eu
2026-08-09T20:26:26.492711  idiot.foltmeingop.co.uk:8880   OK     0.102s   eu
2026-08-09T20:26:26.498483  for.you.goooalir.co.uk:8443    FAIL   -        eu
2026-08-09T20:26:26.502919  b.sub-ploter.co.uk:22          FAIL   -        eu
